date,type,v1,year,month,Mt
2001-08-01,petroleum,79,2001,8,10.4
2001-08-01,total,79,2001,8,20.32
2001-08-01,windsolarandhydro,79,2001,8,.029999999
2001-09-01,bioenergywaste,80,2001,9,.20999999
2001-09-01,coal,80,2001,9,2.0599999
2001-09-01,natural,80,2001,9,7.5100002
2001-09-01,nuclear,80,2001,9,1.84
2001-09-01,petroleum,80,2001,9,10.01
2001-09-01,total,80,2001,9,21.66
2001-09-01,windsolarandhydro,80,2001,9,.029999999
2001-10-01,bioenergywaste,81,2001,10,.20999999
2001-10-01,coal,81,2001,10,1.79
2001-10-01,natural,81,2001,10,8.1199999
2001-10-01,nuclear,81,2001,10,1.83
2001-10-01,petroleum,81,2001,10,11.15
2001-10-01,total,81,2001,10,23.16
2001-10-01,windsolarandhydro,81,2001,10,.059999999
2001-11-01,bioenergywaste,82,2001,11,.20999999
2001-11-01,coal,82,2001,11,1.73
2001-11-01,natural,82,2001,11,9.5200005
2001-11-01,nuclear,82,2001,11,1.8200001
2001-11-01,petroleum,82,2001,11,10.83
2001-11-01,total,82,2001,11,24.17
2001-11-01,windsolarandhydro,82,2001,11,.059999999
2001-12-01,bioenergywaste,83,2001,12,.20999999
2001-12-01,coal,83,2001,12,1.6900001
2001-12-01,natural,83,2001,12,10.72
2001-12-01,nuclear,83,2001,12,2.0599999
2001-12-01,petroleum,83,2001,12,11.78
2001-12-01,total,83,2001,12,26.51
2001-12-01,windsolarandhydro,83,2001,12,.050000001
2002-01-01,bioenergywaste,84,2002,1,.23
2002-01-01,coal,84,2002,1,1.45
2002-01-01,natural,84,2002,1,10.2
2002-01-01,nuclear,84,2002,1,1.76
2002-01-01,petroleum,84,2002,1,11.56
2002-01-01,total,84,2002,1,25.26
2002-01-01,windsolarandhydro,84,2002,1,.059999999
2002-02-01,bioenergywaste,85,2002,2,.23
2002-02-01,coal,85,2002,2,1.6799999
